asin	title	subtitle	extended_product_description	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url	purchase_date
B07DW8N4HF	Lose Well			Chris Gethard	Chris Gethard			Biographies & Memoirs, Relationships, Parenting & Personal Development, Personal Development, Personal Success, Religion & Spirituality, Comedy & Humor	570	True	5.0	4.4	394	2019-03-07T14:01:25.745Z	2018-10-16	https://m.media-amazon.com/images/I/51dewX7CoeL._SL500_.jpg	2019-03-07T14:01:25.745Z
B07F77R461	Who Moved My Cheese?	An A-Mazing Way to Deal with Change in Your Work and in Your Life		Spencer Johnson, Kenneth Blanchard - introduction	Tony Roberts, Karen Ziemba			Business & Careers, Workplace & Organizational Behavior, Workplace Culture, Relationships, Parenting & Personal Development, Personal Development, Personal Success, Relationships, Parenting & Personal Development, Personal Development, Stress Management	99	True	99.0	4.8	7681	2025-07-02T11:48:24.469Z	2018-07-24	https://m.media-amazon.com/images/I/41yxyrzpvuL._SL500_.jpg	2025-07-02T11:48:24.469Z
B07KKMNZCH	Can't Hurt Me	Master Your Mind and Defy the Odds		David Goggins	David Goggins, Adam Skolnick			Relationships, Parenting & Personal Development, Personal Development, Personal Success	817	True	100.0	4.9	207300	2021-04-20T11:06:56.809Z	2018-11-28	https://m.media-amazon.com/images/I/51TNypSYkoL._SL500_.jpg	2021-04-20T11:06:56.809Z
B07MDDDZFP	Millionaire Success Habits	The Gateway to Wealth & Prosperity		Dean Graziosi	Dean Graziosi			Business & Careers, Career Success, Business & Careers, Business Development & Entrepreneurship, Entrepreneurship, Relationships, Parenting & Personal Development, Personal Development, Personal Success	493	True	100.0	4.7	1684	2021-07-16T08:30:52.121Z	2019-01-15	https://m.media-amazon.com/images/I/5134MtFd+oL._SL500_.jpg	2021-07-16T08:30:52.121Z
B07NQTB8L7	Ikigai & Kaizen	The Japanese Strategy to Achieve Personal Happiness and Professional Success (How to set goals, stop procrastinating, be more productive, build good habits, focus, & thrive)		Anthony Raymond	KC Wayman			Business & Careers, Career Success, Motivation & Self-Improvement, Relationships, Parenting & Personal Development, Personal Development, Personal Success	300	True	0.0	4.6	325	2021-06-26T15:37:09.883Z	2019-02-18	https://m.media-amazon.com/images/I/51huVy8T3vL._SL500_.jpg	2021-06-26T15:37:09.883Z
B07SFKHBD2	The Minimalist Way	Minimalism Strategies to Declutter Your Life and Make Room for Joy		Erica Layne	Suehyla El-Attar			Health & Wellness, Psychology & Mental Health, Mental Health, Compulsive Disorders, Relationships, Parenting & Personal Development, Personal Development, Personal Success	240	True	100.0	4.4	2285	2020-01-07T17:59:04.425Z	2019-07-16	https://m.media-amazon.com/images/I/51jl0naOloL._SL500_.jpg	2020-01-07T17:59:04.425Z
B082VK6Q8G	Tools of Titans	The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers		Tim Ferriss	Ray Porter, Kaleo Griffith, Tim Ferriss, Therese Plummer, Ryan Holiday, Kevin Rose, Jocko Willink, Tim Kreider, Mike Del Ponte			Business & Careers, Career Success, Motivation & Self-Improvement, Health & Wellness, Psychology & Mental Health, Psychology, Developmental Psychology, Relationships, Parenting & Personal Development, Personal Development, Personal Success	1361	True	100.0	4.7	4058	2020-07-03T08:02:35.422Z	2020-06-02	https://m.media-amazon.com/images/I/51xVXCYXeGL._SL500_.jpg	2020-07-03T08:02:35.422Z
B082VK89T8	Tribe of Mentors	Short Life Advice from the Best in the World		Tim Ferriss	Kaleo Griffith, Ray Porter, Tim Ferriss, Therese Plummer			Business & Careers, Career Success, Motivation & Self-Improvement, Relationships, Parenting & Personal Development, Personal Development, Personal Success	1123	False	81.0	4.7	1479	2023-06-06T21:26:38.682Z	2020-06-02	https://m.media-amazon.com/images/I/51Rljvd98xL._SL500_.jpg	2023-06-06T21:26:38.682Z
B0868ZFF7X	Breaking the Habit of Being Yourself			Joe Dispenza	Adam Boyce			Relationships, Parenting & Personal Development, Personal Development, Personal Success, Religion & Spirituality, Spirituality, New Thought	649	False	73.0	4.7	5934	2024-08-03T07:42:16.785Z	2020-03-26	https://m.media-amazon.com/images/I/51RRcIBg93L._SL500_.jpg	2024-08-03T07:42:16.785Z
B08MGR62TL	Letters from a Stoic (All 124 Letters)			Seneca	John Winston			Literature & Fiction, Memoirs, Diaries & Correspondence, Politics & Social Sciences, Philosophy, Greek & Roman, Politics & Social Sciences, Philosophy	1537	False	20.0	4.9	7	2024-05-13T06:06:17.313Z	2020-11-04	https://m.media-amazon.com/images/I/51FglDbZ18L._SL500_.jpg	2024-05-13T06:06:17.313Z
